Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Contender Park City,Contender Salt Lake City,Contender Warehouse
open-mind-rapha-frameset,OPEN MIND Rapha Limited Edition Frameset,Color,Rapha Limited Edition,Size,S,,,210000137931,,,0,0,0
open-up-rapha-frameset,OPEN UP Rapha Limited Edition Frameset,Color,Rapha Limited Edition,Size,XL,,,210000137179,,,0,1,1
open-up-rapha-frameset,OPEN UP Rapha Limited Edition Frameset,Color,Rapha Limited Edition,Size,L,,,210000137178,,,0,0,2
open-up-rapha-frameset,OPEN UP Rapha Limited Edition Frameset,Color,Rapha Limited Edition,Size,M,,,210000137177,,,0,1,2
open-up-rapha-frameset,OPEN UP Rapha Limited Edition Frameset,Color,Rapha Limited Edition,Size,S,,,210000137176,,,0,0,0
open-mind-rapha-frameset,OPEN MIND Rapha Limited Edition Frameset,Color,Rapha Limited Edition,Size,XL,,,210000137175,,,0,1,0
open-mind-rapha-frameset,OPEN MIND Rapha Limited Edition Frameset,Color,Rapha Limited Edition,Size,L,,,210000137174,,,0,1,1
open-mind-rapha-frameset,OPEN MIND Rapha Limited Edition Frameset,Color,Rapha Limited Edition,Size,M,,,210000137173,,,0,1,2
cervelo-aspero-frameset,2022 Cervelo Aspero Frameset,Color,Satin Black,Size,51,,,210000135592,,,0,0,0
cervelo-aspero-frameset,2022 Cervelo Aspero Frameset,Color,Satin Black,Size,58,,,210000135591,,,0,1,0
cervelo-aspero-frameset,2022 Cervelo Aspero Frameset,Color,Satin Black,Size,56,,,210000135590,,,0,0,0
cervelo-aspero-frameset,2022 Cervelo Aspero Frameset,Color,Satin Black,Size,54,,,210000135589,,,0,1,1
cervelo-aspero-frameset,2022 Cervelo Aspero Frameset,Color,Satin Black,Size,48,,,210000135587,,,0,0,0
cervelo-aspero-frameset,2022 Cervelo Aspero Frameset,Color,Lime Shimmer,Size,54,,,210000135586,,,0,0,0
cervelo-aspero-frameset,2022 Cervelo Aspero Frameset,Color,Lime Shimmer,Size,58,,,210000135584,,,0,0,0
cervelo-aspero-frameset,2022 Cervelo Aspero Frameset,Color,Lime Shimmer,Size,56,,,210000135583,,,0,0,0
cervelo-aspero-frameset,2022 Cervelo Aspero Frameset,Color,Lime Shimmer,Size,51,,,210000135582,,,0,0,0
enve-melee,ENVE Melee,Color,Damascus (Grey),Size,56,,,210000135863,,,0,1,2
enve-melee,ENVE Melee,Color,Damascus (Grey),Size,52,,,210000135862,,,0,2,2
enve-melee,ENVE Melee,Color,Damascus (Grey),Size,47,,,210000135861,,,0,1,0
enve-melee,ENVE Melee,Color,Damascus (Grey),Size,50,,,210000135860,,,0,2,2
enve-melee,ENVE Melee,Color,Damascus (Grey),Size,54,,,210000135859,,,0,3,5
enve-melee,ENVE Melee,Color,Damascus (Grey),Size,58,,,210000135858,,,0,1,5
enve-melee,ENVE Melee,Color,Damascus (Grey),Size,60,,,210000135857,,,0,0,4
2022-cervelo-aspero-frameset,2022 Cervelo Aspero-5 Frameset,Color,Five Black,Size,54,,,210000135594,,,0,2,0
2022-cervelo-aspero-frameset,2022 Cervelo Aspero-5 Frameset,Color,Five Black,Size,56,,,210000135593,,,0,0,0
2022-cervelo-aspero-frameset,2022 Cervelo Aspero-5 Frameset,Color,Lime Shimmer,Size,56,,,210000135575,,,0,0,0
2022-cervelo-aspero-frameset,2022 Cervelo Aspero-5 Frameset,Color,Five / Carbon Black,Size,56,,,210000135571,,,0,0,0
3t-exploro-ultra,3T Exploro Ultra Frameset,Color,Terracotta,Size,56,,,210000134986,,,0,1,1
3t-exploro-ultra,3T Exploro Ultra Frameset,Color,Terracotta,Size,54,,,210000134755,,,0,1,1
2022-cervelo-aspero-frameset,2022 Cervelo Aspero-5 Frameset,Color,Purple Sunset,Size,51,,,210000134547,,,0,1,0
2022-cervelo-aspero-frameset,2022 Cervelo Aspero-5 Frameset,Color,Satin Black,Size,58,,,210000134551,,,0,0,0
2022-cervelo-aspero-frameset,2022 Cervelo Aspero-5 Frameset,Color,Satin Black,Size,54,,,210000134549,,,0,0,0
2022-cervelo-aspero-frameset,2022 Cervelo Aspero-5 Frameset,Color,Satin Black,Size,56,,,210000134550,,,0,0,0
2022-cervelo-aspero-frameset,2022 Cervelo Aspero-5 Frameset,Color,Satin Black,Size,51,,,210000134548,,,0,0,0
2022-cervelo-aspero-frameset,2022 Cervelo Aspero-5 Frameset,Color,Purple Sunset,Size,56,,,210000134170,,,0,0,0
2022-cervelo-aspero-frameset,2022 Cervelo Aspero-5 Frameset,Color,Purple Sunset,Size,54,,,210000133964,,,0,1,0
3t-exploro-ultra,3T Exploro Ultra Frameset,Color,Steel Blue,Size,56,,,210000133947,,,0,0,0
3t-exploro-ultra,3T Exploro Ultra Frameset,Color,Steel Blue,Size,54,,,210000133946,,,0,0,0
3t-exploro-ultra,3T Exploro Ultra Frameset,Color,Racing Green,Size,54,,,210000133944,,,0,1,0
3t-exploro-ultra,3T Exploro Ultra Frameset,Color,Racing Green,Size,56,,,210000133945,,,0,0,0
3t-exploro-racemax-frame,3T Exploro RaceMax Frameset,Color,Blue/Brown,Size,61,,,210000133550,,,0,0,0
open-mind-california-frame,Open MIND Made In California Frame,Color,RTP,Size,SM,,,210000133489,,,0,0,0
open-mind-california-frame,Open MIND Made In California Frame,Color,RTP,Size,XL,,,210000133490,,,0,0,0
open-mind-california-frame,Open MIND Made In California Frame,Color,RTP,Size,MD,,,210000133488,,,0,0,0
open-one-frameset,Open One + Frameset,Color,Black,Size,S,,,210000132804,,,0,1,0
open-mind-california-frame,Open MIND Made In California Frame,Color,RTP,Size,LG,,,210000132451,,,0,0,0
open-u-p-unbeaten-path-gravel-frameset,OPEN UP Frameset,Color,Orange,Size,XL,,,210000132332,,,0,1,0
open-u-p-unbeaten-path-gravel-frameset,OPEN UP Frameset,Color,Orange,Size,LG,,,210000132331,,,0,1,0
open-u-p-unbeaten-path-gravel-frameset,OPEN UP Frameset,Color,Orange,Size,SM,,,210000132329,,,0,0,0
open-u-p-unbeaten-path-gravel-frameset,OPEN UP Frameset,Color,Orange,Size,MD,,,210000132330,,,0,1,0
open-wide-frameset-ready-to-paint-xs-custom,OPEN WIDE Frameset Ready To Paint XS CUSTOM,Color,Ballerina Pink & White,Size,XS,,,210000126886,,,0,0,0
alpe-dhuez-01-disc-with-aktiv-fork,2022 TIME Alpe D'Huez 01 Disc with Aktiv Fork Frameset,Color,Raw - RTP,Size,L,,,210000131348,,,0,0,0
alpe-dhuez-01-disc-with-aktiv-fork,2022 TIME Alpe D'Huez 01 Disc with Aktiv Fork Frameset,Color,Raw - RTP,Size,M,,,210000131347,,,0,0,0
alpe-dhuez-01-disc-with-aktiv-fork,2022 TIME Alpe D'Huez 01 Disc with Aktiv Fork Frameset,Color,Raw - RTP,Size,S,,,210000131346,,,0,0,0
alpe-dhuez-01-disc-with-aktiv-fork,2022 TIME Alpe D'Huez 01 Disc with Aktiv Fork Frameset,Color,Raw - RTP,Size,XL,,,210000131349,,,0,0,0
alpe-dhuez-01-disc-with-aktiv-fork,2022 TIME Alpe D'Huez 01 Disc with Aktiv Fork Frameset,Color,Raw - RTP,Size,XS,,,210000131345,,,0,0,0
alpe-dhuez-01-disc-with-aktiv-fork,2022 TIME Alpe D'Huez 01 Disc with Aktiv Fork Frameset,Color,Raw - RTP,Size,XXS,,,210000131344,,,0,0,0
alpe-dhuez-01-disc-with-aktiv-fork,2022 TIME Alpe D'Huez 01 Disc with Aktiv Fork Frameset,Color,V13 Matte Silver/ Matte Carbon/ Matte White Logos,Size,XL,,,210000131150,,,0,0,0
alpe-dhuez-01-disc-with-aktiv-fork,2022 TIME Alpe D'Huez 01 Disc with Aktiv Fork Frameset,Color,V13 Matte Silver/ Matte Carbon/ Matte White Logos,Size,L,,,210000131149,,,0,0,0
